Name,Date,Value,Ud,Set
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2008-01-01,4.498,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2008-02-01,4.349,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2008-03-01,4.59,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2008-04-01,4.82,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2008-05-01,4.994,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2008-06-01,5.361,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2008-07-01,5.393,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2008-08-01,5.323,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2008-09-01,5.384,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2008-10-01,5.248,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2008-11-01,4.35,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2008-12-01,3.452,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2009-01-01,2.622,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2009-02-01,2.135,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2009-03-01,1.909,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2009-04-01,1.771,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2009-05-01,1.644,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2009-06-01,1.61,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2009-07-01,1.412,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2009-08-01,1.334,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2009-09-01,1.261,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2009-10-01,1.243,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2009-11-01,1.231,%,BCE_TIPOS
Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses,2009-12-01,1.242,%,BCE_TIPOS
